,ISBN,title,author,year,publisher,alt_title,alt_author,correct_author,alt_first_author,viaf_id,viaf_name,QID,sexuality,country,language,religion,gender,ethnicity,birthyear,deathyear,label,ISBN_alt
51,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,Left Behind,Tim LaHaye|Jerry B. Jenkins,Tim LaHaye,Tim LaHaye,44301126,"Tim LaHaye, 1926-2016",Q558416,,United States of America,,Baptists,male,,1926.0,2016.0,Tim LaHaye,0842342702
52,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,The Street Lawyer,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0440225701
60,0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,Lonesome Dove,Larry McMurtry,Larry McMurtry,Larry McMurtry,36935272,"Larry McMurtry, 1936-2021",Q611672,,United States of America,,,male,white Americans,1936.0,2021.0,Larry McMurtry,0671623249
66,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,,,,,39384885,"Anne Tyler, 1941-",Q235615,,United States of America,,,female,,1941.0,,Anne Tyler,042511774X
67,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),The Joy Luck Club,Amy Tan,Amy Tan,Amy Tan,110768273,"Amy Tan, 1952-",Q234989,,United States of America,English,Baptists,female,,1952.0,,Amy Tan,0804106304
70,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,Tess of the D'Urbervilles,Thomas Hardy,Thomas Hardy,Thomas Hardy,54148778,"Thomas Hardy, 1840-1928",Q132805,,United Kingdom,English,,male,English people,1840.0,1928.0,Thomas Hardy,1853260053
72,0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,The Accidental Virgin,Valerie Frankel,Valerie Frankel,Valerie Frankel,297329451,Valerie Frankel,,,,,,,,,,,0060938412
73,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,The Tao of Pooh,Benjamin Hoff,Benjamin Hoff,Benjamin Hoff,19803933,"Benjamin Hoff, 1946-",Q608512,,United States of America,,,male,,1946.0,,Benjamin Hoff,0140067477
74,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,Seabiscuit,Laura Hillenbrand,Laura Hillenbrand,Laura Hillenbrand,56822917,Laura Hillenbrand,Q311602,,United States of America,,,female,,1967.0,,Laura Hillenbrand,0345465083
76,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,Life's Little Instruction Book,"H. Jackson Brown, Jr.","H. Jackson Brown, Jr.","H. Jackson Brown, Jr.",101750609,"H. Jackson Brown, Jr., 1940-2021",Q104587266,,,,,male,,1940.0,,H. Jackson Brown,1558531025
77,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,Starship Troopers,Robert Anson Heinlein,Robert Anson Heinlein,Robert Anson Heinlein,12309757,"Robert Anson Heinlein, 1907-1988",Q123078,,United States of America,English,atheism,male,,1907.0,1988.0,Robert A. Heinlein,0441783589
78,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,The Ruby in the Smoke,Philip Pullman,Philip Pullman,Philip Pullman,115199438,"Philip Pullman, 1946-",Q190220,,United Kingdom,,atheism,male,,1946.0,,Philip Pullman,0394895894
90,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",The Catcher in the Rye,J.D. Salinger,J.D. Salinger,J.D. Salinger,17092,"J.D.  Salinger, 1919-2010",Q79904,,United States of America,,"Zen,Judaism",male,,1919.0,2010.0,J. D. Salinger,0316769487
94,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,Midnight in the Garden of Good and Evil,John Berendt,John Berendt,John Berendt,99658961,"John Berendt, 1939-",Q3030493,,United States of America,,,male,,1939.0,,John Berendt,0679429220
95,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,Pretend You Don't See Her,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671867156
96,0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,Fast Women,Jennifer Crusie,Jennifer Crusie,Jennifer Crusie,220056218,Jennifer Crusie,,,,,,,,,,,0312252617
97,0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,Female Intelligence,Jane Heller,Jane Heller,Jane Heller,14907140,Jane Heller,,,,,,,,,,,0312261594
98,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,Pasquale's Nose,Michael Rips,Michael Rips,Michael Rips,22356407,Michael Rips,,,,,,,,,,,0316748641
101,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,"Rich Dad, Poor Dad",Robert T. Kiyosaki|Sharon L. Lechter,Robert T. Kiyosaki,Robert T. Kiyosaki,117195725,"Robert T. Kiyosaki, 1947-",Q311147,,United States of America,,,male,,1947.0,,Robert Kiyosaki,0446677450
102,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,The Pillars of the Earth,Ken Follett,Ken Follett,Ken Follett,64005683,"Ken Follett, 1949-",Q210669,,"United Kingdom,Wales",,,male,,1949.0,,Ken Follett,0451166892
105,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,Corelli's Mandolin,Louis De Bernières,Louis De Bernières,Louis De Bernières,117616243,"Louis De Berniéres, 1954-",Q712191,,United Kingdom,,,male,,1954.0,,Louis de Bernières,067976397X
107,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,The Five People You Meet in Heaven,Mitch Albom,Mitch Albom,Mitch Albom,97615503,"Mitch Albom, 1958-",Q378878,,United States of America,English,,male,,1958.0,,Mitch Albom,0786868716
113,0446608653,The Alibi,Sandra Brown,2000,Warner Books,The Alibi,Sandra Brown,Sandra Brown,Sandra Brown,114156159,"Sandra Brown, 1948-",Q258096,,United States of America,,,female,,1948.0,,Sandra Brown,0446608653
114,0446612545,The Beach House,James Patterson,2003,Warner Books,The Beach House,James Patterson|Peter de Jonge,James Patterson,James Patterson,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0446612545
115,0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books,A Kiss Remembered,Sandra Brown,Sandra Brown,Sandra Brown,114156159,"Sandra Brown, 1948-",Q258096,,United States of America,,,female,,1948.0,,Sandra Brown,0446612618
116,0451208080,The Short Forever,Stuart Woods,2003,Signet Book,The Short Forever,Stuart Woods,Stuart Woods,Stuart Woods,108957653,Stuart Woods,Q3500849,,United States of America,English,,male,,1938.0,,Stuart Woods,0451208080
117,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,Dead Aim,Iris Johansen,Iris Johansen,Iris Johansen,41851486,Iris Johansen,Q298651,,United States of America,English,,female,,1938.0,,Iris Johansen,0553584383
118,0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,Angels & Demons,Dan Brown,Dan Brown,Dan Brown,102403515,"Dan Brown, 1964-",Q7345,,United States of America,,agnosticism,male,,1964.0,,Dan Brown,0671027360
120,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,All He Ever Wanted,Anita Shreve,Anita Shreve,Anita Shreve,32082253,Anita Shreve,Q460425,,United States of America,,,female,,1946.0,2018.0,Anita Shreve,0316735736
121,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,Every Breath You Take,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0743439740
123,0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),The Mosquito Coast,Paul Theroux,Paul Theroux,Paul Theroux,34463664,"Paul Theroux, 1941-",Q510320,,United States of America,,Catholic Church,male,,1941.0,,Paul Theroux,0380619458
126,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,The Girl Who Loved Tom Gordon,Stephen King,Stephen King,Stephen King,97113511,"Stephen King, 1947-",Q39829,,United States of America,English,,male,,1947.0,,Stephen King,0671042858
129,0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,The Sum of All Fears,Tom Clancy,Tom Clancy,Tom Clancy,108842694,"Tom Clancy, 1947-2013",Q105167,,United States of America,English,Catholic Church,male,Irish people,1947.0,2013.0,Tom Clancy,0425184226
133,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,One Hundred Years of Solitude,Gabriel García Márquez|Gregory Rabassa,Gabriel García Márquez,Gabriel García Márquez,54147956,"Gabriel García Márquez, 1927-2014",Q5878,,Colombia,Spanish,,male,,1927.0,2014.0,Gabriel García Márquez,0060929790
134,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,Little Altars Everywhere,Rebecca Wells,Rebecca Wells,Rebecca Wells,85331626,Rebecca Wells,Q1619374,,United States of America,,,female,,1953.0,,Rebecca Wells,0060976845
135,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,Coyote Waits,Tony Hillerman,Tony Hillerman,Tony Hillerman,95188838,"Tony Hillerman, 1925-2008",Q181920,,United States of America,,,male,,1925.0,2008.0,Tony Hillerman,0061099325
136,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,Before I Say Good-Bye,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671004573
137,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,Slow Waltz in Cedar Bend,Robert James Waller,Robert James Waller,Robert James Waller,2541537,"Robert James Waller, 1939-2017",Q1394609,,United States of America,,,male,,1939.0,2017.0,Robert James Waller,0446601640
139,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,Atonement,Ian McEwan,Ian McEwan,Ian McEwan,109587997,"Ian McEwan, 1948-",Q190379,,United Kingdom,,atheism,male,English people,1948.0,,Ian McEwan,038572179X
144,0451410319,Hush,Anne Frasier,2002,Onyx Books,Hush,Anne Frasier,Anne Frasier,Anne Frasier,165811731,"Anne Frasier, 1954-",Q4768354,,United States of America,,,female,,1954.0,,Anne Frasier,0451410319
145,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,Whisper of Evil,Kay Hooper,Kay Hooper,Kay Hooper,12319899,Kay Hooper,Q440793,,United States of America,,,female,,1957.0,,Kay Hooper,0553583468
148,0380778556,Rebecca,Daphne Du Maurier,1994,Avon,Rebecca,Daphne Du Maurier,Daphne Du Maurier,Daphne Du Maurier,24600806,"Daphne Du Maurier, 1907-1989",Q193357,,United Kingdom,English,,female,,1907.0,1989.0,Daphne du Maurier,0380778556
149,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,The Scarlet Letter,Nathaniel Hawthorne|Leo Marx,Nathaniel Hawthorne,Nathaniel Hawthorne,44435463,"Nathaniel Hawthorne, 1804-1864",Q69339,,United States of America,English,,male,,1804.0,1864.0,Nathaniel Hawthorne,0451525221
151,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,Diary of a Mad Mom-to-be,Laura Wolf,Laura Wolf,Laura Wolf,165350990,"Laura Wolf, 1967-",,,,,,,,,,,0385336772
157,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,Puerto Vallarta Squeeze,Robert James Waller,Robert James Waller,Robert James Waller,2541537,"Robert James Waller, 1939-2017",Q1394609,,United States of America,,,male,,1939.0,2017.0,Robert James Waller,044651747X
158,0060801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,A Tree Grows in Brooklyn,Betty Smith,Betty Smith,Betty Smith,79125167,"Betty Smith, 1896-1972",Q273730,,United States of America,,,female,,1896.0,1972.0,Betty Smith,0060801263
161,0446527165,Wish You Well,David Baldacci,2000,Warner Books,Wish You Well,David Baldacci,David Baldacci,David Baldacci,102339955,"David Baldacci, 1960-",Q495420,,United States of America,,,male,,1960.0,,David Baldacci,0446527165
162,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,Hitchhik Gd Galaxy,Douglas Adams|Pocket Books,Douglas Adams,Douglas Adams,113230702,"Douglas Adams, 1952-2001",Q42,,United Kingdom,English,,male,White British,1952.0,2001.0,Douglas Adams,0671461494
163,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,Crow Lake,Mary Lawson,Mary Lawson,Mary Lawson,10070079,"Mary Lawson, 1946-",Q6780053,,Canada,,,female,,1946.0,,Mary Lawson,0385337639
164,039575514X,My Antonia,Willa Cather,1995,Mariner Books,My Ántonia,Willa Cather,Willa Cather,Willa Cather,2480701,"Willa Cather, 1873-1947",Q229480,,United States of America,English,,female,,1873.0,1947.0,Willa Cather,039575514X
165,0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,Pen Pals,Olivia Goldsmith,Olivia Goldsmith,Olivia Goldsmith,3202757,"Olivia Goldsmith, 1949-2004",Q276401,,United States of America,,,female,,1949.0,2004.0,Olivia Goldsmith,0451206673
166,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),Bridget Jones's Diary,Helen Fielding,Helen Fielding,Helen Fielding,5075561,"Helen Fielding, 1958-",Q232359,,United Kingdom,,,female,,1958.0,,Helen Fielding,0330332775
167,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,Pride and Prejudice,Jane Austen,Jane Austen,Jane Austen,102333412,"Jane Austen, 1775-1817",Q36322,,"United Kingdom of Great Britain and Ireland,Great Britain",English,Anglicanism,female,English people,1775.0,1817.0,Jane Austen,055321215X
174,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,Night Mare,Piers Anthony,Piers Anthony,Piers Anthony,59078045,Piers Anthony,Q559409,,"United Kingdom,United States of America",,agnosticism,male,English American,1934.0,,Piers Anthony,0345354931
175,0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,The Martian Chronicles,Ray Bradbury,Ray Bradbury,Ray Bradbury,12305881,"Ray Bradbury, 1920-2012",Q40640,,United States of America,English,Unitarian Universalism,male,white Americans,1920.0,2012.0,Ray Bradbury,0553278223
202,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,The God of Small Things,Arundhati Roy,Arundhati Roy,Arundhati Roy,76457869,"Arundhati Roy, 1961-",Q212801,,India,English,Hinduism,female,,1961.0,,Arundhati Roy,0060977493
204,0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",The Study of Reactive Vanadium Carbonyl Compounds,Kristi Ann Fjare,,Kristi Ann Fjare,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0316602906
205,0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",Four Blind Mice,James Patterson,James Patterson,James Patterson,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0316693006
206,0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,Private Screening,Richard North Patterson,Richard North Patterson,Richard North Patterson,85314580,Richard North Patterson,Q1678883,,United States of America,,,male,,1947.0,,Richard North Patterson,0345311396
207,0345378490,Congo,Michael Crichton,1995,Ballantine Books,Congo,Michael Crichton,Michael Crichton,Michael Crichton,89578936,"Michael Crichton, 1942-2008",Q172140,,United States of America,,deism,male,,1942.0,2008.0,Michael Crichton,0345378490
208,0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,Protect and Defend,Richard North Patterson,Richard North Patterson,Richard North Patterson,85314580,Richard North Patterson,Q1678883,,United States of America,,,male,,1947.0,,Richard North Patterson,0345404793
210,0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,Memoirs of a Geisha,Arthur Golden,Arthur Golden,Arthur Golden,84008163,"Arthur Golden, 1957-",Q432728,,United States of America,,,male,,1956.0,,Arthur Golden,0375400117
211,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,Plainsong,Kent Haruf,Kent Haruf,Kent Haruf,79080073,"Kent Haruf, 1943-2014",Q6391763,,United States of America,,,male,,1943.0,2014.0,Kent Haruf,0375705856
212,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,Body of Evidence,Patricia Cornwell,Patricia Cornwell,Patricia Cornwell,36976332,"Patricia Cornwell, 1956-",Q231467,,United States of America,,,female,,1956.0,,Patricia Cornwell,0380717018
213,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,All That Remains,Patricia Cornwell,Patricia Cornwell,Patricia Cornwell,36976332,"Patricia Cornwell, 1956-",Q231467,,United States of America,,,female,,1956.0,,Patricia Cornwell,0380718332
216,0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,The Elusive Flame,Kathleen E. Woodiwiss,Kathleen E. Woodiwiss,Kathleen E. Woodiwiss,22150341,"Kathleen E. Woodiwiss, 1939-2007",Q291779,,United States of America,,,female,,1939.0,2007.0,Kathleen E. Woodiwiss,0380807866
218,0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,The Brethren,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0385497466
219,0385508042,The King of Torts,John Grisham,2003,Doubleday Books,The King of Torts,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0385508042
220,0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,The Curious Incident of the Dog in the Night-time,Mark Haddon,Mark Haddon,Mark Haddon,85413157,"Mark Haddon, 1962-",Q356357,,United Kingdom,,,male,,1962.0,,Mark Haddon,0385509456
221,0385511612,Bleachers,John Grisham,2003,Doubleday,Bleachers,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0385511612
222,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,The Sisterhood of the Traveling Pants,Ann Brashares,Ann Brashares,Ann Brashares,233445049,Ann Brashares,Q39987,,United States of America,,,female,,1967.0,,Ann Brashares,0385730586
225,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,,,,,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0446605484
226,0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,,,,,117604749,"Nicholas Sparks, 1965-",Q219377,,United States of America,,Catholic Church,male,,1965.0,,Nicholas Sparks,0446610399
227,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,The Manhattan Hunt Club,John Saul,John Saul,John Saul,100257906,"John Saul, 1942-",Q1701683,,United States of America,,,male,,1942.0,,John Saul,0449006522
228,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,Patty Jane's House of Curl,Lorna Landvik,Lorna Landvik,Lorna Landvik,30475456,"Lorna Landvik, 1954-",,,,,,,,,,,0449911004
229,0451162072,Pet Sematary,Stephen King,1994,Signet Book,Pet Sematary,Stephen King,Stephen King,Stephen King,97113511,"Stephen King, 1947-",Q39829,,United States of America,English,,male,,1947.0,,Stephen King,0451162072
230,0451186648,Silent Snow,Steve Thayer,2000,Signet Book,Silent Snow,Steve Thayer,Steve Thayer,Steve Thayer,92774301,Steve Thayer,Q7614110,,United States of America,,,male,,1953.0,,Steve Thayer,0451186648
231,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,Girl with a Pearl Earring,Tracy Chevalier,Tracy Chevalier,Tracy Chevalier,66573793,"Tracy Chevalier, 1962-",Q232212,,"United States of America,United Kingdom",,,female,,1962.0,,Tracy Chevalier,0452282152
232,051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,Summer of Storms,Judith Kelman,Judith Kelman,Judith Kelman,79351493,Judith Kelman,Q20666746,,United States of America,,,female,,1945.0,,Judith Kelman,051513290X
233,0553580388,The Patient,Michael Palmer,2001,Bantam Books,The Patient,Michael Palmer,Michael Palmer,Michael Palmer,100912074,"Michael Palmer, 1942-2013",Q2386817,,United States of America,,,male,,1942.0,2013.0,Michael Palmer,0553580388
236,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,,,,,36976332,"Patricia Cornwell, 1956-",Q231467,,United States of America,,,female,,1956.0,,Patricia Cornwell,0671023616
237,0671027387,Deception Point,Dan Brown,2002,Pocket,Deception Point,Dan Brown,Dan Brown,Dan Brown,102403515,"Dan Brown, 1964-",Q7345,,United States of America,,agnosticism,male,,1964.0,,Dan Brown,0671027387
238,0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,Tis,Frank McCourt,Frank McCourt,Frank McCourt,84035838,"Frank McCourt, 1930-2009",Q208869,,United States of America,English,,male,,1930.0,2009.0,Frank McCourt,0684848783
239,0743486226,Angels &amp; Demons,Dan Brown,2003,Atria,,,,,102403515,"Dan Brown, 1964-",Q7345,,United States of America,,agnosticism,male,,1964.0,,Dan Brown,0743486226
240,0786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,A Monk Swimming,Malachy McCourt,Malachy McCourt,Malachy McCourt,117616184,"Malachy McCourt, 1931-",Q1276083,,United States of America,English,,male,,1931.0,,Malachy McCourt,0786863986
243,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,The Kalahari Typing School for Men,Alexander McCall Smith,Alexander McCall Smith,Alexander McCall Smith,86227797,"Alexander McCall Smith, 1948-",Q364901,,United Kingdom,,,male,Scottish people,1948.0,,Alexander McCall Smith,140003180X
244,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,Chicken Soup for the Soul,Jack Canfield|Mark Victor Hansen,Jack Canfield,Jack Canfield,97718147,"Jack Canfield, 1944-",Q1374512,,United States of America,,,male,,1944.0,,Jack Canfield,155874262X
245,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,Wicked,Gregory Maguire,Gregory Maguire,Gregory Maguire,267230610,Gregory Maguire,Q736137,,United States of America,,,male,,1954.0,,Gregory Maguire,0060987103
